period,org_code,parent_org,org_name,aande_attendances_type_1,aande_attendances_type_2,aande_attendances_other_aande_department,aande_attendances_booked_appointments_type_1,aande_attendances_booked_appointments_type_2,aande_attendances_booked_appointments_other_department,attendances_over_4hrs_type_1,attendances_over_4hrs_type_2,attendances_over_4hrs_other_department,attendances_over_4hrs_booked_appointments_type_1,attendances_over_4hrs_booked_appointments_type_2,attendances_over_4hrs_booked_appointments_other_department,patients_who_have_waited_4_12_hs_from_dta_to_admission,patients_who_have_waited_12_hrs_from_dta_to_admission,emergency_admissions_via_aande_type_1,emergency_admissions_via_aande_type_2,emergency_admissions_via_aande_other_aande_department,other_emergency_admissions,type1_total_attendances,type1_total_over_4hrs,type1_pct_within_4hrs
2026-02-01,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
2026-02-01,DJV01,NHS ENGLAND SOUTH EAST ,HERNE BAY HEALTH CARE LTD,0,0,2444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2041,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1476,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2156,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,
2026-02-01,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2462,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,
