period,type1_attendances,type2_attendances,type3_attendances,total_attendances,emerg_admissions_type1,emerg_admissions_type2,emerg_admissions_type3,total_emerg_admissions
2010-08-01,1138652,54371,559358,1752381,287438,5367,8081,300886
2010-09-01,1150728,55181,550359,1756268,293991,5543,3673,303207
2010-10-01,1163143,54961,583244,1801348,303452,5485,2560,311497
2010-11-01,1111295,53727,486005,1651027,297832,5731,3279,306842
2010-12-01,1159204,45536,533001,1737741,318602,6277,3198,328078
2011-01-01,1133881,51585,542331,1727797,308368,5567,3626,317561
2011-02-01,1053707,51249,494408,1599364,276646,1678,2801,281125
2011-03-01,1225222,57900,580319,1863441,308390,2264,3822,314476
2011-04-01,1197213,54042,593120,1844375,295580,2939,3067,301586
2011-05-01,1221687,57067,594941,1873695,299961,2982,2786,305729
2011-06-01,1168468,54739,562210,1785417,290244,2839,2596,295678
2011-07-01,1211066,56204,597690,1864959,299077,3494,2593,305165
2011-08-01,1135801,51890,570417,1758108,289884,2844,3225,295953
2011-09-01,1162143,52329,566738,1781211,291050,3171,3074,297295
2011-10-01,1200708,54447,593757,1848912,305952,2177,4082,312211
2011-11-01,1134959,51772,554709,1741441,296726,2987,4475,304188
2011-12-01,1141606,47961,542479,1732046,313714,3073,4231,321017
2012-01-01,1137916,51607,547995,1737518,307651,3174,4423,315248
2012-02-01,1120423,51156,532653,1704232,296577,3060,4261,303898
2012-03-01,1263082,58574,611496,1933153,319223,3366,3476,326065
2012-04-01,1149634,51689,568200,1769523,302599,2687,2420,307705
2012-05-01,1251414,56417,621739,1929570,316001,2748,2383,321133
2012-06-01,1222084,53957,611800,1887841,306005,2613,2388,311006
2012-07-01,1248953,55392,620178,1924523,316143,2751,2384,321279
2012-08-01,1197384,52905,594854,1845142,305791,2516,2373,310680
2012-09-01,1178361,51526,558604,1788491,303417,2546,2279,308242
2012-10-01,1214433,53423,564448,1832304,317919,2652,2439,323011
2012-11-01,1167908,51805,535892,1755605,309441,2798,2251,314490
2012-12-01,1202080,47553,572792,1822426,326829,1288,2424,330541
2013-01-01,1149837,49518,533763,1733118,316171,1067,2311,319548
2013-02-01,1085333,48970,514445,1648748,290544,1130,2222,293896
2013-03-01,1226196,54219,584669,1865084,326673,1336,2441,330450
2013-04-01,1199089,54306,578025,1831420,309033,1252,2379,312664
2013-05-01,1229747,54729,607194,1891670,316072,1317,2376,319764
2013-06-01,1191352,54589,585094,1831036,304051,1219,2318,307589
2013-07-01,1281700,55536,639053,1976289,318790,1399,2280,322470
2013-08-01,1189671,53239,597681,1840591,309887,1298,2262,313448
2013-09-01,1156569,52312,559868,1768749,307638,1298,2145,311081
2013-10-01,1199259,52705,577465,1829429,322015,1332,2275,325621
2013-11-01,1139112,50631,543294,1733037,315374,1391,2161,318927
2013-12-01,1172011,47809,562209,1782029,333324,1491,2655,337470
2014-01-01,1142284,51060,546196,1739539,328887,1240,2436,332563
2014-02-01,1084744,47705,529366,1661814,302575,1163,2247,305984
2014-03-01,1269436,55798,632107,1957341,336284,1346,2361,339992
2014-04-01,1213066,52034,612576,1877676,326337,1319,2415,330071
2014-05-01,1287333,54446,636250,1978028,339253,1231,2677,343161
2014-06-01,1265211,54997,622060,1942268,327065,1251,2548,330864
2014-07-01,1302588,55793,635250,1993631,334823,1329,2513,338665
2014-08-01,1188147,53051,576112,1817310,321638,1233,2405,325277
