period,type1_within_4hrs,type2_within_4hrs,type3_within_4hrs,total_within_4hrs,type1_over_4hrs,type2_over_4hrs,type3_over_4hrs,total_over_4hrs,total_all,pct_within_4hrs
2010-11-01,1065456,53584,485551,1604591,45838,143,455,46436,1651027,97.2
2010-12-01,1070729,45396,531699,1647824,88475,141,1301,89917,1737741,94.8
2011-01-01,1061898,51421,541589,1654907,71983,164,742,72889,1727796,95.8
2011-02-01,1007385,51153,493883,1552421,46322,96,525,46943,1599364,97.1
2011-03-01,1167090,57695,579484,1804268,58132,206,835,59173,1863441,96.8
2011-04-01,1140917,53788,592290,1786995,56295,255,830,57380,1844375,96.9
2011-05-01,1168080,56643,594167,1818890,53607,424,774,54805,1873695,97.1
2011-06-01,1117615,54550,561551,1733716,50853,189,659,51702,1785418,97.1
2011-07-01,1167234,55995,596844,1820074,43832,208,846,44885,1864959,97.6
2011-08-01,1091367,51774,569891,1713032,44435,116,526,45077,1758109,97.4
2011-09-01,1107671,52150,565998,1725818,54472,180,740,55392,1781210,96.9
2011-10-01,1139227,54241,592992,1786460,61481,206,765,62453,1848913,96.6
2011-11-01,1076774,51633,553902,1682309,58186,139,807,59132,1741441,96.6
2011-12-01,1069766,47847,541602,1659214,71841,114,877,72832,1732046,95.8
2012-01-01,1064831,51548,547393,1663771,73085,59,602,73747,1737518,95.8
2012-02-01,1036193,51049,531563,1618805,84230,107,1091,85427,1704232,95.0
2012-03-01,1197372,58319,610515,1866206,65710,255,981,66947,1933153,96.5
2012-04-01,1086165,51511,567286,1704962,63468,178,914,64561,1769523,96.4
2012-05-01,1191009,56279,620762,1868050,60405,138,978,61521,1929571,96.8
2012-06-01,1161693,53766,610943,1826402,60392,191,857,61439,1887841,96.7
2012-07-01,1193640,55175,619275,1868090,55313,217,903,56434,1924524,97.1
2012-08-01,1143645,52793,594097,1790535,53739,112,756,54607,1845142,97.0
2012-09-01,1120087,51402,557892,1729381,58274,124,712,59110,1788491,96.7
2012-10-01,1146459,53229,563748,1763436,67975,194,700,68868,1832304,96.2
2012-11-01,1098824,51587,535180,1685591,69084,217,713,70014,1755605,96.0
2012-12-01,1106158,47415,571665,1725239,95922,138,1127,97187,1822426,94.7
2013-01-01,1056300,49386,532870,1638557,93537,132,892,94561,1733118,94.5
2013-02-01,992426,48708,513502,1554636,92907,262,944,94112,1648748,94.3
2013-03-01,1106666,53888,583535,1744089,119531,331,1134,120995,1865084,93.5
2013-04-01,1080364,53977,576957,1711299,118725,329,1068,120122,1831421,93.4
2013-05-01,1166193,54434,606220,1826847,63555,294,974,64823,1891670,96.6
2013-06-01,1136079,54397,584221,1774696,55273,193,874,56340,1831036,96.9
2013-07-01,1217422,55253,638025,1910700,64277,283,1028,65589,1976289,96.7
2013-08-01,1122312,53056,596827,1772195,67359,184,853,68396,1840591,96.3
2013-09-01,1082967,52174,559064,1694205,73602,138,804,74544,1768749,95.8
2013-10-01,1121110,52580,576489,1750179,78148,126,976,79250,1829429,95.7
2013-11-01,1069367,50504,542385,1662255,69745,127,909,70781,1733036,95.9
2013-12-01,1088947,47723,561310,1697980,83064,86,899,84049,1782029,95.3
2014-01-01,1059249,50884,545409,1655543,83034,175,786,83996,1739539,95.2
2014-02-01,996820,47539,528354,1572713,87924,165,1012,89101,1661814,94.6
2014-03-01,1185253,55588,630671,1871512,84183,211,1435,85829,1957341,95.6
2014-04-01,1125630,51903,611186,1788719,87436,131,1390,88957,1877676,95.3
2014-05-01,1186776,54221,634841,1875839,100557,225,1408,102190,1978029,94.8
2014-06-01,1174433,54698,620273,1849404,90778,299,1786,92864,1942268,95.2
2014-07-01,1208070,55481,633808,1897359,94519,312,1442,96272,1993631,95.2
2014-08-01,1100823,52822,574785,1728430,87323,229,1327,88880,1817310,95.1
2014-09-01,1123719,51918,577799,1753436,98063,277,1510,99850,1853286,94.6
2014-10-01,1132970,54247,586178,1773396,117144,181,1653,118978,1892374,93.7
2014-11-01,1087855,52039,570835,1710729,117664,291,1776,119731,1830460,93.5
2014-12-01,1052857,47492,608723,1709072,189038,167,2950,192155,1901227,89.9
2015-01-01,972839,50738,555334,1578911,151201,163,1793,153156,1732067,91.2
2015-02-01,941203,47961,532814,1521979,131248,196,1424,132868,1654847,92.0
2015-03-01,1112666,56021,633086,1801773,138659,362,2173,141194,1942967,92.7
2015-04-01,1083542,51844,611982,1747368,123089,522,2188,125799,1873167,93.3
2015-05-01,1146859,54318,626007,1827184,107586,491,2207,110284,1937468,94.3
2015-06-01,1152550,53159,606176,1811885,96663,239,2422,99324,1911209,94.8
2015-07-01,1176360,52959,626101,1855420,95163,458,1854,97475,1952895,95.0
2015-08-01,1111430,49222,598012,1758664,104396,236,1843,106475,1865139,94.3
